,country,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,iso
0,United States,52144,60264,68712,111692,61063,79299,91301,USA
1,United Kingdom,9822,8953,10266,16386,9688,10860,13590,GBR
2,France,7058,9870,8850,11339,6598,9438,10391,FRA
3,India,7032,7694,8172,13261,7360,7494,9318,IND
4,Canada,5846,5864,6538,9476,5739,7763,9490,CAN
5,Hong Kong,5691,5037,4982,5157,4315,3878,5844,HKG
6,Thailand,4401,1957,1864,3436,2733,3207,4839,THA
7,Nigeria,4256,3253,5050,8504,9409,14801,7493,NGA
8,Venezuela,4216,4216,4902,6927,3892,4507,9582,VEN
9,Australia,3624,3998,4146,4660,3634,4453,5299,AUS
10,Argentina,3445,3116,3399,6417,5207,4455,5092,ARG
11,Indonesia,2970,2224,2445,2726,2776,2472,3707,IDN
12,Colombia,2836,1997,3957,3956,2148,2704,3777,COL
13,Italy,2543,2206,3242,3735,2317,2587,20943,ITA
14,Japan,2445,2130,2315,3593,2357,2887,4175,JPN
15,Chile,1931,1407,2140,6891,4509,5728,4454,CHL
16,Spain,1912,1743,1978,2354,1639,1865,2926,ESP
17,Ecuador,1727,1296,4215,2866,3795,2954,2921,ECU
18,Malaysia,1630,2053,2629,2846,3110,2983,2668,MYS
19,Germany,1568,1415,1582,2141,1445,1549,2511,DEU
20,Kenya,1524,1251,1436,5318,2211,2184,1761,KEN
21,China,1392,1317,1536,1747,1436,1805,2333,CHN
22,South Africa,1270,895,1811,2162,1548,1620,1968,ZAF
23,Philippines,1268,1166,1260,1590,1542,1604,2342,PHL
24,Pakistan,1246,1245,1326,1821,1174,1443,1631,PAK
25,Singapore,1238,1064,1296,1545,1354,1658,1800,SGP
26,Mexico,1092,1012,1273,1643,1109,1378,1624,MEX
27,Ghana,949,578,659,1197,654,1007,664,GHA
28,Brazil,828,915,839,1404,763,1169,1431,BRA
29,Cuba,816,344,510,807,283,304,295,CUB
30,Peru,800,631,894,1112,747,800,1049,PER
31,Netherlands,638,594,707,1043,547,710,998,NLD
32,Switzerland,560,570,657,885,583,693,1069,CHE
33,Ireland,511,497,489,1078,545,638,829,IRL
34,Turkey,505,351,305,414,353,811,1024,TUR
35,United Arab Emirates,464,515,491,676,487,911,1014,ARE
36,Belgium,444,393,529,761,433,504,762,BEL
37,Bolivia,439,313,295,434,274,255,341,BOL
38,Taiwan,429,427,441,446,411,524,689,TWN
39,Paraguay,416,346,357,445,281,410,491,PRY
40,Sweden,399,379,409,568,406,422,687,SWE
41,Panama,384,290,222,323,231,209,266,PAN
42,Uruguay,376,347,385,554,359,359,589,URY
43,New Zealand,349,370,433,665,398,499,459,NZL
44,Portugal,345,1151,433,935,545,439,510,PRT
45,Guatemala,337,287,362,383,382,399,531,GTM
46,El Salvador,308,341,382,553,548,557,628,SLV
47,South Korea,306,239,271,384,551,759,1140,KOR
48,Uganda,302,242,216,397,301,352,421,UGA
49,The Netherlands,295,197,326,438,206,200,341,NLD
50,Nepal,274,206,151,247,219,151,179,NPL
51,Sri Lanka,273,881,214,435,427,251,266,LKA
52,Poland,269,246,294,390,318,300,552,POL
53,Bangladesh,261,205,208,355,205,177,260,BGD
54,Egypt,252,246,176,282,156,156,324,EGY
55,Israel,245,344,345,368,314,418,629,ISR
56,Tanzania,245,180,162,203,212,155,182,TZA
57,Dominican Republic,234,196,285,345,235,286,327,DOM
58,Greece,226,221,256,254,178,238,404,GRC
59,Finland,214,164,194,223,181,172,235,FIN
60,Maldives,194,185,188,312,202,154,241,MDV
61,Austria,191,154,210,313,171,172,340,AUT
62,Russia,173,192,184,223,215,273,318,RUS
63,Senegal,169,90,108,118,108,113,85,SEN
64,Vietnam,168,262,183,238,161,198,293,VNM
65,Costa Rica,165,147,180,306,242,209,235,CRI
66,Nicaragua,160,138,162,351,232,162,235,NIC
67,Mongolia,153,161,206,244,137,251,349,MNG
68,Honduras,150,122,196,2149,1086,393,303,HND
69,Norway,145,154,172,172,145,167,196,NOR
70,Jamaica,144,102,98,204,132,95,132,JAM
71,Zimbabwe,143,108,124,269,343,256,149,ZWE
72,Saudi Arabia,138,113,112,190,168,151,199,SAU
73,Denmark,129,132,125,168,128,227,217,DNK
74,Cameroon,126,92,120,117,61,112,126,CMR
75,Qatar,123,90,91,156,103,139,190,QAT
76,Trinidad and Tobago,118,103,59,70,75,47,127,TTO
77,Ethiopia,114,99,79,85,53,60,76,ETH
78,Lebanon,109,100,113,189,173,161,1968,LBN
79,Romania,95,114,111,155,119,157,164,ROU
80,Cambodia,93,93,109,126,101,96,96,KHM
81,Rwanda,90,79,70,75,103,100,66,RWA
82,Kuwait,89,53,61,62,53,78,147,KWT
83,Czech Republic,82,67,77,107,54,80,159,CZE
84,Fiji,81,30,64,39,61,105,59,FJI
85,Ukraine,78,63,105,107,75,222,234,UKR
86,Hungary,68,68,111,149,120,134,200,HUN
87,Somalia,67,44,38,59,40,33,44,SOM
88,Guadeloupe,59,34,32,42,41,61,56,GLP
89,Iraq,57,62,68,56,88,183,262,IRQ
90,Oman,57,59,67,101,33,83,68,OMN
91,Zambia,55,25,36,102,50,36,36,ZMB
92,Haiti,53,69,108,67,24,57,60,HTI
93,Antarctica,51,69,60,78,35,62,73,ATA
94,Morocco,51,45,44,66,72,64,88,MAR
95,Monaco,50,54,57,59,42,102,120,MCO
96,Tunisia,48,60,69,91,55,65,128,TUN
97,Botswana,47,29,39,219,82,77,33,BWA
98,Cyprus,44,40,55,82,53,64,97,CYP
99,Yemen,44,34,27,27,31,29,51,YEM
100,Myanmar,43,48,62,58,47,67,62,MMR
101,The Bahamas,43,31,41,73,52,51,37,BHS
102,Namibia,42,49,29,57,50,29,50,NAM
103,Malawi,42,44,38,26,15,91,22,MWI
104,Bahrain,41,41,29,67,44,45,81,BHR
105,Jordan,40,22,28,27,27,24,76,JOR
106,Afghanistan,40,36,52,58,54,46,53,AFG
107,Democratic Republic of Congo,38,29,34,42,26,23,37,COD
108,Luxembourg,37,63,49,65,47,80,108,LUX
109,Iran,35,43,42,74,133,227,384,IRN
110,Madagascar,32,52,66,106,42,78,44,MDG
111,Barbados,32,15,29,38,27,21,31,BRB
112,Malta,32,36,45,58,40,31,82,MLT
113,Latvia,32,22,28,44,40,33,63,LVA
114,Bulgaria,31,29,36,49,39,47,69,BGR
115,Slovenia,30,28,31,24,17,27,55,SVN
116,Albania,30,24,27,35,15,50,113,ALB
117,Martinique,29,37,50,51,28,48,23,MTQ
118,Slovakia,29,41,36,40,47,29,36,SVK
119,Sudan,29,27,14,27,18,17,23,SDN
120,Ivory Coast,28,10,20,39,7,26,37,CIV
121,Moldova,27,20,18,27,25,21,30,MDA
122,Libya,27,25,20,32,20,37,80,LBY
123,Bermuda,26,45,21,17,24,28,29,BMU
124,Angola,26,123,124,71,38,28,39,AGO
125,Algeria,25,15,19,29,17,14,23,DZA
126,Iceland,25,24,27,47,36,30,27,ISL
127,Brunei,23,19,24,25,34,29,38,BRN
128,Estonia,22,39,64,69,70,94,70,EST
129,Papua New Guinea,22,15,7,13,23,14,20,PNG
130,Andorra,21,6,5,13,4,13,9,AND
131,Serbia,19,16,16,25,19,12,29,SRB
132,Lesotho,17,9,7,8,9,3,5,LSO
133,Azerbaijan,15,9,15,39,41,44,76,AZE
134,Armenia,15,9,25,9,20,19,19,ARM
135,Macau-China,14,16,23,28,15,34,47,MAC
136,Djibouti,14,24,17,28,25,16,7,DJI
137,Cayman Islands,13,13,8,19,20,11,22,CYM
138,Mauritius,13,11,30,8,21,15,18,MUS
139,Swaziland,12,4,11,6,0,7,15,SWZ
140,Republic of Latvia,11,6,16,21,9,11,15,LVA
141,Aruba,10,10,25,13,3,5,8,ABW
142,Syria,9,7,6,9,8,13,33,SYR
143,Greenland,9,10,9,12,10,7,19,GRL
144,Mozambique,8,9,12,7,5,14,4,MOZ
145,Republic of Lithuania,8,3,2,3,5,4,4,LTU
146,St. Lucia,7,1,5,14,7,3,7,LCA
147,Uzbekistan,7,8,5,6,4,11,6,UZB
148,Belize,7,4,11,10,16,10,7,BLZ
149,Eritrea,6,1,2,1,0,3,3,ERI
150,Lithuania,6,1,1,13,6,6,6,LTU
151,Guyana,6,6,4,7,7,17,13,GUY
152,Kazakhstan,5,17,20,12,16,16,27,KAZ
153,Sierra Leone,5,6,3,5,4,4,5,SLE
154,Belarus,5,4,6,4,12,5,14,BLR
155,Vatican City,5,3,2,15,5,5,7,VAT
156,Croatia,5,9,4,11,9,0,6,HRV
157,Kyrgyzstan,4,2,2,2,1,6,7,KGZ
158,North Korea,4,15,9,8,13,19,19,PRK
159,Federated States of Micronesia,4,4,5,12,11,3,12,FSM
160,Bosnia and Herzegovina,4,7,9,8,14,11,24,BIH
161,Macedonia,4,8,12,4,5,12,15,MKD
162,The Gambia,3,3,2,0,0,1,3,GMB
163,Grenada,3,1,4,8,3,0,4,GRD
164,Samoa,2,5,0,6,3,4,5,WSM
165,Benin,2,8,17,16,26,24,14,BEN
166,Montenegro,2,2,1,1,2,5,10,MNE
167,Cape Verde,2,2,0,5,2,1,5,CPV
168,Suriname,2,4,12,2,5,6,8,SUR
169,Georgia,2,0,0,9,3,5,0,GEO
170,French Polynesia,2,0,2,2,1,4,1,PYF
171,Palestinian Territories,2,291,3,1,2,1,0,PSE
172,Christmas Island,2,1,2,1,3,3,6,CXR
173,Dominica,1,3,0,5,5,0,4,DMA
174,British Virgin Islands,1,2,0,3,0,2,2,VGB
175,Antigua and Barbuda,1,0,2,11,2,0,9,ATG
176,Turks and Caicos Islands,1,2,3,0,3,0,8,TCA
177,Reunion,1,0,2,0,0,0,2,REU
178,Tajikistan,0,3,1,1,2,1,0,TJK
179,Seychelles,0,2,3,2,4,2,2,SYC
180,Saint Vincent and the Grenadines,0,1,1,3,1,0,4,VCT
181,Netherlands Antilles,0,1,0,4,0,1,2,ANT
182,South Georgia and the South Sandwich Islands,0,0,5,3,1,8,7,SGS
183,Turkmenistan,0,0,1,0,0,0,0,TKM
